City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Tura,RU,2019-12-30 03:25:58,64.27,100.22,-30.03,91,0,5.73
209,Turochak,RU,2019-12-30 03:25:58,52.26,87.12,22.28,84,100,2.66
210,Samarai,PG,2019-12-30 03:23:05,-10.62,150.67,86.43,60,47,8.01
211,Nikolskoye,RU,2019-12-30 03:25:59,59.7,30.79,35.6,94,90,13.42
212,Hualmay,PE,2019-12-30 03:25:59,-11.1,-77.61,66.2,89,70,1.36
213,Hofn,IS,2019-12-30 03:25:59,64.25,-15.21,36.91,95,100,16.8
214,Tamasane,BW,2019-12-30 03:26:00,-22.42,27.4,75.2,57,18,5.82
215,Padang,ID,2019-12-30 03:26:00,-0.92,100.36,82.04,65,0,1.7
216,Havre-Saint-Pierre,CA,2019-12-30 03:26:01,50.23,-63.6,17.6,61,75,12.75
217,Baruun-Urt,MN,2019-12-30 03:26:01,46.68,113.28,-12.73,84,0,10.63
218,Bereda,ES,2019-12-30 03:26:01,43.27,-7.54,45.0,100,0,6.93
219,Kapit,MY,2019-12-30 03:26:02,2.02,112.94,87.53,67,92,0.72
220,Otradnoye,RU,2019-12-30 03:26:02,59.77,30.8,35.6,90,90,13.42
221,Arraial Do Cabo,BR,2019-12-30 03:26:02,-22.97,-42.02,75.72,85,5,10.13
222,Saldanha,PT,2019-12-30 03:26:03,41.42,-6.55,40.68,52,3,1.74
223,Tuatapere,NZ,2019-12-30 03:26:03,-46.13,167.69,59.0,79,57,20.0
224,Punta De Bombon,PE,2019-12-30 03:26:03,-17.17,-71.79,65.77,87,65,4.97
225,Tahoua,NE,2019-12-30 03:26:03,14.89,5.26,66.2,10,0,6.93
226,Dakar,SN,2019-12-30 03:26:04,14.69,-17.45,77.0,15,89,11.41
227,Nipawin,CA,2019-12-30 03:26:04,53.36,-104.02,10.4,92,75,3.36
228,Ipixuna,BR,2019-12-30 03:26:04,-1.76,-48.8,77.0,94,65,4.7
229,Poum,MK,2019-12-30 03:26:04,41.28,20.71,21.13,65,0,6.67
230,Mar Del Plata,AR,2019-12-30 03:26:05,-46.43,-67.52,60.76,62,59,5.73
231,Tezu,IN,2019-12-30 03:26:05,27.93,96.16,62.26,28,0,2.1
232,Mount Isa,AU,2019-12-30 03:26:06,-20.73,139.49,104.0,16,38,10.29
233,Necochea,AR,2019-12-30 03:26:06,-38.55,-58.74,71.01,1,100,8.01
234,Kavieng,PG,2019-12-30 03:26:06,-2.57,150.8,84.4,74,39,13.38
235,Smithers,CA,2019-12-30 03:26:06,54.78,-127.17,32.0,97,90,10.29
236,Atar,MR,2019-12-30 03:26:06,20.52,-13.05,62.55,17,100,11.27
237,Vila Franca Do Campo,PT,2019-12-30 03:26:07,37.72,-25.43,51.8,76,20,4.7
238,Airai,TL,2019-12-30 03:26:07,-8.93,125.41,76.86,77,99,4.43
239,Coihaique,CL,2019-12-30 03:26:07,-45.58,-72.07,59.0,54,45,3.36
240,Deputatskiy,RU,2019-12-30 03:26:07,69.3,139.9,-25.24,73,1,3.53
241,Mahebourg,MU,2019-12-30 03:26:07,-20.41,57.7,77.0,100,75,27.51
242,Ilulissat,GL,2019-12-30 03:26:08,69.22,-51.1,17.6,72,61,13.87
243,Bassar,TG,2019-12-30 03:26:08,9.26,0.78,69.04,15,0,5.46
244,Russell,US,2019-12-30 03:26:08,38.9,-98.86,33.8,69,90,18.34
245,Tazovskiy,RU,2019-12-30 03:26:08,67.47,78.7,8.62,94,97,11.86
246,Talcahuano,CL,2019-12-30 03:23:36,-36.72,-73.12,59.0,72,0,12.75
247,Gat,SN,2019-12-30 03:26:09,14.69,-16.54,77.0,15,100,11.41
248,Fort Nelson,CA,2019-12-30 03:26:09,58.81,-122.69,-4.0,83,75,2.24
249,Pundaguitan,PH,2019-12-30 03:26:09,6.37,126.17,80.53,76,84,7.61
250,Phalombe,MW,2019-12-30 03:26:09,-15.81,35.65,66.02,97,100,4.79
251,Karratha,AU,2019-12-30 03:26:09,-20.74,116.85,84.42,87,1,10.36
252,Bowen,AU,2019-12-30 03:26:10,-20.01,148.25,82.4,74,75,16.11
253,Veraval,FR,2019-12-30 03:26:10,49.65,0.71,35.6,100,55,3.36
254,Irbit,RU,2019-12-30 03:26:10,57.67,63.06,-12.46,94,0,2.37
255,Arys,KZ,2019-12-30 03:26:10,42.43,68.8,30.2,100,90,2.24
256,Lodja,CD,2019-12-30 03:26:10,-3.52,23.6,68.18,99,100,1.39
257,Mangai,CD,2019-12-30 03:26:11,-4.07,19.59,69.62,92,100,1.88
258,Meulaboh,ID,2019-12-30 03:26:11,4.14,96.13,81.0,77,0,5.5
259,Aranos,NA,2019-12-30 03:26:11,-24.14,19.11,75.33,65,100,4.09
260,San Andres,PH,2019-12-30 03:26:11,13.32,122.68,84.74,62,0,5.32
261,Koslan,RU,2019-12-30 03:26:12,63.46,48.9,15.19,87,100,13.13
262,Prestea,GH,2019-12-30 03:26:12,5.43,-2.14,75.15,93,0,0.85
263,Lahij,YE,2019-12-30 03:26:12,13.06,44.88,71.85,69,35,3.53
264,Ust-Barguzin,RU,2019-12-30 03:26:12,53.41,109.03,-16.24,95,58,4.97
265,Buzmeyin,TM,2019-12-30 03:26:13,38.05,58.21,46.4,81,75,6.93
266,Fukue,JP,2019-12-30 03:26:13,35.03,136.69,48.99,87,75,10.29
267,Batagay-Alyta,RU,2019-12-30 03:26:13,67.8,130.41,-15.95,80,100,4.92
268,Constitucion,MX,2019-12-30 03:26:13,23.99,-104.67,53.6,32,5,5.82
269,Guerrero Negro,MX,2019-12-30 03:26:13,27.97,-114.04,58.21,52,0,5.64
270,Chenzhou,CN,2019-12-30 03:26:13,25.81,113.03,59.22,70,68,6.64
271,Mitsamiouli,KM,2019-12-30 03:26:14,-11.38,43.28,78.8,88,75,2.24
272,Isabela,PH,2019-12-30 03:26:14,10.2,122.99,78.39,74,13,11.63
273,Antigonish,CA,2019-12-30 03:26:15,45.62,-61.99,27.0,79,90,19.46
274,Souillac,FR,2019-12-30 03:26:15,45.6,-0.6,37.0,78,90,4.7
275,Almaznyy,RU,2019-12-30 03:26:15,48.03,40.04,33.8,88,75,11.18
276,Kaitangata,NZ,2019-12-30 03:26:15,-46.28,169.85,60.01,68,72,8.01
277,Skjervoy,NO,2019-12-30 03:26:15,70.03,20.97,35.87,82,100,10.25
278,Baiyin,CN,2019-12-30 03:26:15,36.55,104.13,23.0,38,0,2.24
279,Teya,MX,2019-12-30 03:26:16,21.05,-89.07,77.0,88,20,4.81
280,Lorengau,PG,2019-12-30 03:26:16,-2.02,147.27,84.33,68,15,5.21
281,Yar-Sale,RU,2019-12-30 03:26:16,66.83,70.83,14.04,78,100,20.69
282,Andalan,PH,2019-12-30 03:26:16,5.96,121.39,82.53,72,98,7.76
283,Varkaus,FI,2019-12-30 03:26:16,62.32,27.87,37.4,100,90,10.29
284,Vangaindrano,MG,2019-12-30 03:26:17,-23.35,47.6,73.87,93,13,1.88
285,Bethanien,NA,2019-12-30 03:26:17,-26.5,17.16,68.86,28,87,4.18
286,Snasa,NO,2019-12-30 03:22:05,64.25,12.38,34.02,98,100,26.28
287,Torquay,GB,2019-12-30 03:26:17,50.47,-3.52,46.99,95,0,3.0
288,Narsaq,GL,2019-12-30 03:26:17,60.91,-46.05,24.8,79,97,4.7
289,Egvekinot,RU,2019-12-30 03:26:18,66.32,-179.17,-17.86,92,99,9.51
290,Darhan,MN,2019-12-30 03:26:18,49.49,105.92,-18.62,83,0,9.33
291,Tobermory,CA,2019-12-30 03:26:18,45.25,-81.67,36.28,92,100,20.45
292,Srivardhan,IN,2019-12-30 03:26:18,18.03,73.02,74.43,81,0,2.93
293,Cayenne,GF,2019-12-30 03:26:18,4.94,-52.33,77.0,94,75,2.24
294,Tabas,IR,2019-12-30 03:26:18,33.6,56.92,41.0,44,0,2.24
295,Saint-Georges,CA,2019-12-30 03:25:23,46.12,-70.67,24.01,55,99,1.03
296,Aksarka,RU,2019-12-30 03:26:19,66.56,67.8,11.89,73,100,17.65
297,Lavrentiya,RU,2019-12-30 03:26:19,65.58,-170.99,-9.51,86,4,14.32
298,Pemba,MZ,2019-12-30 03:26:19,-12.97,40.52,75.2,94,75,5.82
299,Vardo,US,2019-12-30 03:26:19,39.62,-77.74,50.0,93,90,5.82
300,Nome,US,2019-12-30 03:26:19,30.04,-94.42,57.0,66,1,8.05
301,Kununurra,AU,2019-12-30 03:26:20,-15.77,128.74,100.4,39,94,4.7
302,Sayansk,RU,2019-12-30 03:26:20,54.11,102.18,-9.45,93,100,5.86
